,code,dept,title,min_units,description,prereqs
0,AIP 97,AIP,"Academic Internship (2, 4)",2.0,"Individual placements for field learning. Must be integrated with an academic discipline. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. May be taken for credit up to three times. Prerequisites: lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3.0, and a completed and approved Learning Agreement for Special Studies.","lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 30, and a completed and approved Learning Agreement for Special Studies"
1,AIP 197,AIP,"Academic Internship Program (2, 4, 6, 8, 10, 12)",2.0,"Individual internship placements integrated with an academic discipline. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required. May be taken for credit up to three times for a maximum of sixteen units. Prerequisites: upper-division standing; department approval.",upper-division standing; department approval
2,AIP 197DC,AIP,"UCDC: Washington, DC Internship (6, 8, 10)",6.0,"This internship is attached to the University of California, Washington Center programs. Students participating in the campus UCDC program secure internships in the Washington, DC area requiring 18–30 hours per week. Students must be enrolled in the UCDC program. Prerequisites: upper-division standing; department approval.",upper-division standing; department approval
3,AIP 197F,AIP,"Academic Internship Program—Foreign (4, 8, 12)",4.0,"Individual placements for field learning opportunities abroad. Must be integrated with an academic discipline. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required. Prerequisites: ninety units completed; 2.5 minimum cumulative GPA; department approval.",ninety units completed; 25 minimum cumulative GPA; department approval
4,AIP 197P,AIP,"Public Service Internship (4, 8, 12)",4.0,"Individual placements for field learning performed in nonprofit organizations or government agencies dedicated to providing services in the areas of education, government, social issues, and health. May be taken for credit up to three times for a maximum of twelve units. Contract completed prior to start of internship will include intellectually unified expectations and means of supervision. Faculty member and student will meet regularly. Prerequisites: ninety units completed; 2.5 minimum cumulative GPA; department approval.",ninety units completed; 25 minimum cumulative GPA; department approval
5,AIP 197T,AIP,Academic Internship Program—Special Programs (2),2.0,"Individual placements for field learning associated with UC San Diego partnerships and special programs. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required. Prerequisites: ninety units minimum completed; 2.5 minimum cumulative GPA; department approval.",ninety units minimum completed; 25 minimum cumulative GPA; department approval
0,AAS 10,AAS,Introduction to African American Studies (4),4.0,"This course will cover the experiences of peoples of African descent in the U.S. and broader African Diaspora from the vantage points of cultural production, political practice, socioeconomic conditions, and the overall struggle for social justice along intersecting lines of race, gender, and class. Topics reviewed include slavery (and slave rebellion), Reconstruction, Jim Crow apartheid, the Great Migration and Harlem Renaissance, and the Civil Rights and Black Power Movements.",
1,AAS 87,AAS,First-year Student Seminar (1),1.0,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to 15-20 students. Enrollment priority will be given to first-year students. Seminars are open to sophomores, juniors and seniors on a space available basis. P/NP grades only. May be taken for credit four times.",
2,AAS/ANSC 185,AAS/ANSC,#BlackLivesMatter (4),4.0,"(Cross-listed with ANSC 185.) This seminar traces the historical roots and growth of the Black Lives Matter social movement in the United States and comparative global contexts. Occupy Wall Street, protests against the prison industrial complex, black feminist, and LGBTQ intersectionality are explored in the context of millennial and post-millennial youth as the founders of this movement. Students may not receive credit for AAS 185 and ANSC 185.",
3,AAS 190,AAS,Special Topics in African American Studies (1–4),1.0,"This course will explore specialized, relevant topics in the field of African American studies. Course topics will vary from quarter to quarter, so it may be repeated up to three times as long as the quarterly topics vary.",
4,AAS 198,AAS,Directed Group Study in African American Studies (2 or 4),2.0,"Directed group study on a topic or in a field not included in the regular curriculum by special arrangement with a faculty member. P/NP grades only. May be taken for credit two times. Prerequisites: upper-division standing unless otherwise authorized. Completion of ninety units of undergraduate study, and completion and approval of the Special Studies form.","upper-division standing unless otherwise authorized Completion of ninety units of undergraduate study, and completion and approval of the Special Studies form"
5,AAS 199,AAS,Independent Study in African American Studies (2 or 4),2.0,Individual research and study on a particular subject related to African American studies by special arrangement with and under the direction of a faculty member. P/NP grades only. May be taken for credit two times. Prerequisites: upper-division standing. Enrollment via the faculty director of the African American Studies Minor only.,upper-division standing Enrollment via the faculty director of the African American Studies Minor only
0,AWP 2A,AWP,Analytical Writing and Academic English A (4),4.0,"AWP 2A is the first of a multi-term course designed to offer students who need extra English language support the opportunity to develop their critical thinking and writing abilities over two terms. Students who enroll in AWP 2A are required to enroll in AWP 2B in the subsequent term. Renumbered from ELWR 2A. Students may not receive credit for AWP 2A and ELWR 2A. Students must earn a C or better in AWP 2A-B to satisfy the UC Entry Level Writing Requirement. If a grade of C or better is not earned, students are placed in AWP 1.",
1,AWP 2B,AWP,Analytical Writing and Academic English B (4),4.0,"AWP 2B is the second of a multi-term course designed to offer students who need extra English language support the opportunity to develop their critical thinking and writing abilities over two terms. At the end of AWP 2B, students will produce a portfolio of work that will determine their readiness to enter the college writing programs. Renumbered from ELWR 2B. Students may not receive credit for AWP 2B and ELWR 2B. Students must earn a grade of C or better in AWP 2A-B to satisfy the UC Entry Level Writing Requirement. If a C or better is not earned, students are placed in AWP 1. Prerequisites: AWP 2A or ELWR 2A.",AWP 2A or ELWR 2A
2,AWP 3,AWP,Analytical Writing (4),4.0,"AWP 3 provides writers the opportunity to develop their critical thinking and writing abilities. At the end of AWP 3, students will produce a portfolio of work that will determine their readiness to enter the college writing programs. Replaced AWP 1. Students may take AWP 3, AWP 1, and ELWR 1 for a combined total of three times to earn a passing grade of C or better to satisfy the UC Entry Level Writing Requirement.",
3,AWP 4A,AWP,Analytical Writing and Academic English A (4),4.0,AWP 4A is the first of two courses designed to offer students who need extra English language support the opportunity to develop their critical thinking and writing abilities over two quarters. Students who enroll in AWP 4A are required to enroll in AWP 4B in the subsequent quarter. Pass/Not Pass only. Replaced AWP 2A. Students may not receive credit for AWP 4A and AWP 2A or ELWR 2A. Students must earn a grade of Pass to move on to AWP 4B.,
4,AWP 4B,AWP,Analytical Writing and Academic English B (4),4.0,"AWP 4B is the second of two courses designed to offer students who need extra English language support the opportunity to develop their critical thinking and writing abilities over two quarters. At the end of AWP 4B, students will produce a portfolio of work that will determine their readiness to enter the college writing programs. Replaced AWP 2B. Students may not receive credit for AWP 4B and AWP 2B or ELWR 2B. Students must earn a grade of C or better in AWP 4B to satisfy the UC Entry Level Writing Requirement. If a grade of C or better is not earned, students are placed in AWP 3. Prerequisites: AWP 4A.",AWP 4A
5,AWP 10,AWP,Language and Learning in the American Academy (4),4.0,"This course will introduce critical thinking, reading, writing, speaking, and listening practices appropriate to college-level work. It will prepare students who may not be familiar with the learning expectations of American universities to fully join the academic conversation. Students may not receive credit for AWP 10 and LTWR 4.",
6,AWP 100,AWP,Writing a Researched Argument (4),4.0,"This course offers students intensive instruction in the critical and rhetorical practices necessary to craft strong, research-informed arguments. Students also make short multi-modal presentations to practice delivering what they have written. Course topics will vary. Prerequisites: upper-division or graduate standing.",upper-division or graduate standing
7,AWP 101,AWP,Writing about Science (4),4.0,"Students write about scientific topics for non-scientific audiences, engaging with current debates in the sciences, analyzing the rhetorical strategies employed, and composing rhetorically strategic responses of their own. Students also make short multi-modal presentations to practice delivering what they have written. The intensive focus on writing and revising is especially useful for students who want to develop their writing. Prerequisites: upper-division or graduate standing.",upper-division or graduate standing
