id,label
AIP 97,"AIP 97. Academic Internship (2, 4)"
AIP 197,"AIP 197. Academic Internship Program (2, 4, 6, 8, 10, 12)"
AIP 197DC,"AIP 197DC. UCDC: Washington, DC Internship (6, 8, 10)"
AIP 197F,"AIP 197F. Academic Internship Program—Foreign (4, 8, 12)"
AIP 197P,"AIP 197P. Public Service Internship (4, 8, 12)"
AIP 197T,AIP 197T. Academic Internship Program—Special Programs (2)
AAS 10,AAS 10. Introduction to African American Studies (4)
AAS 87,AAS 87. First-year Student Seminar (1)
AAS/ANSC 185,AAS/ANSC 185. #BlackLivesMatter (4)
AAS 190,AAS 190. Special Topics in African American Studies (1–4)
AAS 198,AAS 198. Directed Group Study in African American Studies (2 or 4)
AAS 199,AAS 199. Independent Study in African American Studies (2 or 4)
AWP 2A,AWP 2A. Analytical Writing and Academic English A (4)
AWP 2B,AWP 2B. Analytical Writing and Academic English B (4)
AWP 3,AWP 3. Analytical Writing (4)
AWP 4A,AWP 4A. Analytical Writing and Academic English A (4)
AWP 4B,AWP 4B. Analytical Writing and Academic English B (4)
AWP 10,AWP 10. Language and Learning in the American Academy (4)
AWP 100,AWP 100. Writing a Researched Argument (4)
AWP 101,AWP 101. Writing about Science (4)
AWP 102,AWP 102. Writing for the Professions (4)
AWP 103,AWP 103. Writing About the Law (4)
AWP 195,AWP 195. Academic Mentoring in Writing (2)
AWP 500,AWP 500. Apprentice Teaching in the Analytical Writing Program (1–4)
ANTH 1,ANTH 1. Introduction to Culture (4)
ANTH 2,ANTH 2. Human Origins (4)
ANTH 3,ANTH 3. Global Archaeology (4)
ANTH 4,ANTH 4. Words and Worlds: Introduction to the Anthropology of Language (4)
ANTH 5,ANTH 5. The Human Machine: The Skeleton Within (4)
ANTH 21,ANTH 21. Race and Racisms (4)
ANTH 23,"ANTH 23. Debating Multiculturalism: Race, Ethnicity, and Class in American Societies (4)"
ANTH 24,ANTH 24. Mapping Capitalism (4)
ANTH 42,ANTH 42. Primates in a Human-Dominated World (4)
ANTH 43,ANTH 43. Introduction to Biology and Culture of Race (4)
ANTH 87,ANTH 87. First-year Student Seminar (1)
ANTH 101,ANTH 101. Foundations of Social Complexity (4)
ANTH 102,ANTH 102. Humans Are Cultural Animals (4)
ANTH 103,ANTH 103. Sociocultural Anthropology (4)
ANTH 104,ANTH 104. Transforming the Global Environment (4)
ANTH 105,"ANTH 105. Climate Change, Race, and Inequality (4)"
ANTH 106,ANTH 106. Climate and Civilization (4)
ANTH 107,"ANTH 107. Designing for Disasters, Emergencies, and Extreme Weather (4)"
ANTH 108,"ANTH 108. Indigenous Peoples, Extractive Development, and Climate Change (4)"
ANTH 109,"ANTH 109. Climate Change, Cultural Heritage, and Vulnerability (4)"
ANTH 110,ANTH 110. The Climate Change Seminar (4)
ANTH 111,ANTH 111. Religion and Ecology: How Religion Matters in the Anthropocene (4)
ANTH 147,ANTH 147. Understanding the Human Social Order: Anthropology and the Long-Term (4)
ANTH 192,ANTH 192. Senior Seminar in Anthropology (1)
ANTH 195,ANTH 195. Instructional Apprenticeship in Anthropology (4)
ANTH 196A,ANTH 196A. Honors Studies in Anthropology (4)
ANTH 196B,ANTH 196B. Honors Studies in Anthropology (4)
ANTH 196C,ANTH 196C. Honors Studies in Anthropology (4)
ANTH 197,ANTH 197. Field Studies (4)
ANTH 198,ANTH 198. Directed Group Study (2–4)
ANTH 199,ANTH 199. Independent Study (4)
ANAR 100,ANAR 100. Special Topics in Anthropological Archaeology (4)
ANAR 104,ANAR 104. Introduction to Geographic Information Systems (GIS) for Anthropologists and Archaeologists (4)
ANAR 111,ANAR 111. Foundations of Archaeology (4)
ANAR 113,"ANAR 113. Past, Present, and Future Perspectives on Natural Resources in Israel (4)"
ANAR 114,ANAR 114. Environmental Hazards in Israel (4)
ANAR 115,ANAR 115. Coastal Geomorphology and Environmental Change—Perspectives from Israel and the South-Eastern Mediterranean (4)
ANAR 116,ANAR 116. Sea Level Change—The Israel Case in World Perspective (4)
ANAR 117,"ANAR 117. Archaeological Field and Lab Class, Southern California (4)"
ANAR 118,ANAR 118. Archaeology of the UC San Diego Campus (4)
ANAR 119S,ANAR 119S. Archaeological Field and Lab Class (8)
ANAR 120,ANAR 120. Documenting Climate Change: Past and Present (4)
ANAR 121,ANAR 121. Cyber-Archaeology and World Digital Cultural Heritage (4)
ANAR 124,ANAR 124. Archaeology of Asia (4)
ANAR 135S,ANAR 135S. Ancient Mediterranean Civilization (8)
ANAR 138,ANAR 138. Mesopotamia: The Emergence of Civilization (4)
ANAR 141,ANAR 141. Prehistory of the Holy Land (4)
ANAR 142,ANAR 142. The Rise and Fall of Ancient Israel (4)
ANAR 143,ANAR 143. Biblical Archaeology—Fact or Fiction (4)
ANAR 144,"ANAR 144. Pharaohs, Mummies, and Pyramids: Introduction to Egyptology (4)"
ANAR 145S,ANAR 145S. Study Abroad: Egypt of the Pharaohs (4)
ANAR 146,ANAR 146. Feeding the World (4)
ANAR 153,ANAR 153. The Mysterious Maya (4)
ANAR 154,ANAR 154. The Aztecs and their Ancestors (4)
ANAR 155,ANAR 155. Study Abroad: Ancient Mesoamerica (4)
ANAR 155S,ANAR 155S. Study Abroad: Ancient Mesoamerica (4)
ANAR 156,ANAR 156. The Archaeology of South America (4)
ANAR 157,ANAR 157. Early Empires of the Andes: The Middle Horizon (4)
ANAR 157S,ANAR 157S. Early Empires of the Andes: The Middle Horizon (4)
ANAR 158,ANAR 158. The Inca: Empire of the Andes (4)
ANAR 159,ANAR 159. Pre-Hispanic Societies of the Caribbean Archipelago (4)
ANAR 160,ANAR 160. Ancient Maya: Archaeological Problems and Perspectives (4)
ANAR 164,ANAR 164. Underwater Archaeology—From Atlantis to Science (4)
ANAR 165,ANAR 165. Marine and Coastal Archaeology and the Biblical Seas (4)
ANAR 166,ANAR 166. Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology (4)
ANAR 167,ANAR 167. Geoarchaeology in Theory and Practice (6)
ANAR 180,ANAR 180. Archaeology Workshop: Advanced Lab Work in Archaeology (4)
ANAR 182,ANAR 182. Origins of Agriculture and Sedentism (4)
ANAR 183,"ANAR 183. Chiefdoms, States, and the Emergence of Civilizations (4)"
ANAR 184,ANAR 184. Empires in Archaeological Perspective (4)
ANAR 185,ANAR 185. Middle East Desert Cultural Ecology (4)
ANAR 186,ANAR 186. The Human Era: The Archaeology of the Anthropocene (4)
ANAR 190,ANAR 190. Eastern Mediterranean Archaeological Field School (12)
ANAR 191,ANAR 191. Advanced Cyber-Archaeology Field School (12)
"ANBI
				    100","ANBI
				    100. Special Topics in Biological Anthropology (4)"
ANBI 109,ANBI 109. Brain Mind Workshop (2)
ANBI 111,ANBI 111. Human Evolution (4)
ANBI 112,ANBI 112. Methods in Human Comparative Neuroscience (4)
ANBI 114,ANBI 114. Methods in Primate Conservation (4)
"ANBI
				    116","ANBI
				    116. Human Sexuality in an Evolutionary Perspective (4)"
ANBI 117,ANBI 117. Ancient Genomics: Who We Are and How We Got Here (4)
ANBI 118,ANBI 118. Technology on the Go: Mobile Tools for Human Biology (4)
ANBI 120,ANBI 120. Ethical Dilemmas in Biological Anthropology (4)
ANBI 121,ANBI 121. The Original Moonshot: The Voyaging Achievements of the Polynesian Ancestors (4)
ANBI 130,ANBI 130. Biology of Inequality (4)
ANBI 131,ANBI 131. Biology and Culture of Race (4)
"ANBI
				    132","ANBI
				    132. Conservation and the Human Predicament (4)"
ANBI 133,ANBI 133. Planet of the Apes: Evolution and Ecology of the Great Ape (4)
ANBI 134,ANBI 134. Human Evolutionary Genetics (4)
